id,match_date,year,round,venue,home_team,away_team,result,home_margin,home_team_name,home_feat_form_5,home_feat_rolling_margin_5,home_feat_rolling_score_5,home_feat_rest_days,home_feat_ladder_pts,home_feat_h2h_win_5,home_feat_venue_win_10,away_feat_form_5,away_feat_rolling_margin_5,away_feat_rolling_score_5,away_feat_rest_days,away_feat_ladder_pts,away_feat_h2h_win_5,away_feat_venue_win_10,feat_diff_form_5,feat_diff_margin_5,feat_diff_rest,feat_diff_ladder,target_win,target_margin
1,2000-03-11,2000,1,AAMI Stadium,Adelaide Crows,western bulldogs,L,-23,Adelaide Crows,,,,21.0,0.0,0.5,0.5,,,,,,,,,,,,0,-23
3,2000-03-25,2000,3,AAMI Stadium,Adelaide Crows,Geelong Cats,L,-11,Adelaide Crows,,,,6.0,0.0,0.5,0.5,,,,,,,,,,,,0,-11
6,2000-04-16,2000,6,AAMI Stadium,Adelaide Crows,Hawthorn Hawks,W,86,Adelaide Crows,0.0,-37.8,93.0,8.0,0.0,0.5,0.5,,,,,,,,,,,,1,86
9,2000-05-06,2000,9,AAMI Stadium,Adelaide Crows,North Melbourne Kangaroos,L,-3,Adelaide Crows,0.6,-2.2,102.8,7.0,12.0,0.5,0.5,,,,,,,,,,,,0,-3
11,2000-05-21,2000,11,AAMI Stadium,Adelaide Crows,melbourne demons,W,35,Adelaide Crows,0.6,16.4,111.6,7.0,12.0,0.5,0.4,,,,,,,,,,,,1,35
12,2000-05-27,2000,12,AAMI Stadium,Adelaide Crows,Sydney Swans,W,50,Adelaide Crows,0.6,6.2,104.0,6.0,16.0,0.5,0.5,,,,,,,,,,,,1,50
13,2000-06-02,2000,13,Marvel Stadium,Adelaide Crows,Richmond Tigers,W,9,Adelaide Crows,0.6,14.8,104.0,6.0,20.0,0.5,0.5,,,,,,,,,,,,1,9
14,2000-06-11,2000,14,AAMI Stadium,Adelaide Crows,Fremantle Dockers,W,73,Adelaide Crows,0.6,8.6,106.6,9.0,24.0,0.5,0.5714285714285714,,,,,,,,,,,,1,73
17,2000-07-02,2000,17,AAMI Stadium,Adelaide Crows,Collingwood Magpies,W,38,Adelaide Crows,0.6,9.4,106.8,7.0,28.0,0.5,0.625,,,,,,,,,,,,1,38
19,2000-07-14,2000,19,AAMI Stadium,Adelaide Crows,west coast eagles,W,17,Adelaide Crows,0.4,3.8,112.8,6.0,32.0,0.5,0.6666666666666666,,,,,,,,,,,,1,17
20,2000-07-23,2000,20,AAMI Stadium,Adelaide Crows,Brisbane Lions,L,-37,Adelaide Crows,0.4,-7.4,105.2,9.0,36.0,0.5,0.7,,,,,,,,,,,,0,-37
22,2000-08-06,2000,22,AAMI Stadium,Adelaide Crows,Port Adelaide Power,L,-47,Adelaide Crows,0.4,-4.0,100.2,8.0,36.0,0.5,0.7,,,,,,,,,,,,0,-47
24,2001-04-07,2001,2,AAMI Stadium,Adelaide Crows,melbourne demons,L,-3,Adelaide Crows,0.2,-30.0,83.6,6.0,0.0,0.5,0.7,,,,,,,,,,,,0,-3
25,2001-04-15,2001,3,AAMI Stadium,Adelaide Crows,Port Adelaide Power,L,-65,Adelaide Crows,0.0,-34.0,78.2,8.0,0.0,0.5,0.6,,,,,,,,,,,,0,-65
27,2001-04-28,2001,5,AAMI Stadium,Adelaide Crows,North Melbourne Kangaroos,W,15,Adelaide Crows,0.2,-31.6,79.2,7.0,4.0,0.5,0.5,,,,,,,,,,,,1,15
29,2001-05-12,2001,7,AAMI Stadium,Adelaide Crows,Fremantle Dockers,W,20,Adelaide Crows,0.4,-11.4,82.2,6.0,8.0,0.5,0.6,,,,,,,,,,,,1,20
32,2001-06-03,2001,10,AAMI Stadium,Adelaide Crows,geelong cats,W,11,Adelaide Crows,0.8,11.0,106.2,8.0,20.0,0.5,0.6,,,,,,,,,,,,1,11
33,2001-06-09,2001,11,AAMI Stadium,Adelaide Crows,Western Bulldogs,L,-30,Adelaide Crows,0.8,10.2,101.4,6.0,24.0,0.5,0.6,,,,,,,,,,,,0,-30
35,2001-06-30,2001,13,AAMI Stadium,Adelaide Crows,Collingwood Magpies,L,-2,Adelaide Crows,0.6,-7.0,96.6,15.0,24.0,0.5,0.5,,,,,,,,,,,,0,-2
36,2001-07-07,2001,14,AAMI Stadium,Adelaide Crows,west coast eagles,W,13,Adelaide Crows,0.4,-13.0,92.0,7.0,24.0,0.5,0.4,,,,,,,,,,,,1,13
38,2001-07-22,2001,16,AAMI Stadium,Adelaide Crows,Sydney Swans,L,-49,Adelaide Crows,0.4,5.8,97.4,9.0,32.0,0.5,0.4,,,,,,,,,,,,0,-49
41,2001-08-11,2001,19,AAMI Stadium,Adelaide Crows,Carlton Blues,W,53,Adelaide Crows,0.6,13.8,95.0,6.0,36.0,0.5,0.4,,,,,,,,,,,,1,53
42,2001-08-17,2001,20,Marvel Stadium,Adelaide Crows,North Melbourne Kangaroos,W,62,Adelaide Crows,0.6,21.8,103.4,6.0,40.0,0.5,0.5,,,,,,,,,,,,1,62
43,2001-08-26,2001,21,AAMI Stadium,Adelaide Crows,hawthorn hawks,W,38,Adelaide Crows,0.6,14.8,104.6,9.0,44.0,0.5,0.5,,,,,,,,,,,,1,38
47,2002-04-06,2002,2,AAMI Stadium,Adelaide Crows,geelong cats,W,31,Adelaide Crows,0.6,2.8,99.6,6.0,4.0,0.5,0.6,,,,,,,,,,,,1,31
48,2002-04-13,2002,3,AAMI Stadium,Adelaide Crows,Sydney Swans,W,30,Adelaide Crows,0.6,-3.4,89.2,7.0,8.0,0.3333333333333333,0.6,,,,,,,,,,,,1,30
50,2002-04-27,2002,5,AAMI Stadium,Adelaide Crows,Port Adelaide Power,L,-8,Adelaide Crows,0.6,-5.8,93.4,8.0,12.0,0.0,0.6,,,,,,,,,,,,0,-8
51,2002-05-05,2002,6,Marvel Stadium,Adelaide Crows,Richmond Tigers,W,32,Adelaide Crows,0.6,6.2,99.8,8.0,12.0,0.5,0.5555555555555556,,,,,,,,,,,,1,32
52,2002-05-11,2002,7,AAMI Stadium,Adelaide Crows,Fremantle Dockers,W,29,Adelaide Crows,0.6,8.8,98.4,6.0,16.0,0.6666666666666666,0.5,,,,,,,,,,,,1,29
55,2002-06-01,2002,10,AAMI Stadium,Adelaide Crows,brisbane lions,W,7,Adelaide Crows,0.6,18.4,105.8,6.0,24.0,0.5,0.6,,,,,,,,,,,,1,7
56,2002-06-08,2002,11,AAMI Stadium,Adelaide Crows,Hawthorn Hawks,W,44,Adelaide Crows,0.8,21.4,109.6,7.0,28.0,0.3333333333333333,0.7,,,,,,,,,,,,1,44
59,2002-07-07,2002,14,AAMI Stadium,Adelaide Crows,Collingwood Magpies,L,-22,Adelaide Crows,0.6,12.8,104.8,7.0,32.0,0.3333333333333333,0.7,,,,,,,,,,,,0,-22
60,2002-07-13,2002,15,AAMI Stadium,Adelaide Crows,St Kilda Saints,W,18,Adelaide Crows,0.4,-2.8,101.8,6.0,32.0,0.5,0.7,,,,,,,,,,,,1,18
61,2002-07-21,2002,16,AAMI Stadium,Adelaide Crows,western bulldogs,W,43,Adelaide Crows,0.4,-0.6,101.4,8.0,36.0,0.5,0.8,,,,,,,,,,,,1,43
64,2002-08-11,2002,19,AAMI Stadium,Adelaide Crows,Essendon Bombers,W,48,Adelaide Crows,0.8,12.0,112.4,7.0,48.0,0.0,0.8,,,,,,,,,,,,1,48
66,2002-08-25,2002,21,AAMI Stadium,Adelaide Crows,Richmond Tigers,W,22,Adelaide Crows,0.8,20.8,109.4,7.0,52.0,1.0,0.7,,,,,,,,,,,,1,22
69,2002-09-14,2002,SF,Melbourne Cricket Ground,Adelaide Crows,Melbourne Demons,W,12,Adelaide Crows,0.6,6.2,90.2,7.0,60.0,0.5,0.4,,,,,,,,,,,,1,12
71,2003-03-30,2003,1,AAMI Stadium,Adelaide Crows,Fremantle Dockers,W,56,Adelaide Crows,0.6,-5.0,88.8,21.0,0.0,0.75,0.7,,,,,,,,,,,,1,56
74,2003-04-20,2003,4,AAMI Stadium,Adelaide Crows,West Coast Eagles,W,33,Adelaide Crows,0.6,11.8,106.4,7.0,8.0,0.5,0.8,,,,,,,,,,,,1,33
75,2003-04-26,2003,5,AAMI Stadium,Adelaide Crows,Port Adelaide Power,L,-12,Adelaide Crows,0.6,16.0,101.6,6.0,12.0,0.0,0.8,,,,,,,,,,,,0,-12
77,2003-05-10,2003,7,AAMI Stadium,Adelaide Crows,Collingwood Magpies,L,-5,Adelaide Crows,0.6,18.8,98.0,8.0,16.0,0.2,0.7,,,,,,,,,,,,0,-5
79,2003-05-25,2003,9,AAMI Stadium,Adelaide Crows,Western Bulldogs,W,16,Adelaide Crows,0.4,10.4,98.8,8.0,16.0,0.3333333333333333,0.6,,,,,,,,,,,,1,16
82,2003-06-15,2003,12,AAMI Stadium,Adelaide Crows,Melbourne Demons,W,73,Adelaide Crows,0.4,1.0,90.6,8.0,24.0,0.6666666666666666,0.7,,,,,,,,,,,,1,73
84,2003-07-05,2003,14,AAMI Stadium,Adelaide Crows,Richmond Tigers,W,28,Adelaide Crows,0.8,28.6,97.0,6.0,32.0,1.0,0.7,,,,,,,,,,,,1,28
85,2003-07-11,2003,15,AAMI Stadium,Adelaide Crows,Essendon Bombers,W,41,Adelaide Crows,0.8,31.0,89.6,6.0,36.0,0.25,0.7,,,,,,,,,,,,1,41
87,2003-07-27,2003,17,AAMI Stadium,Adelaide Crows,St Kilda Saints,W,57,Adelaide Crows,0.8,36.6,96.4,7.0,40.0,0.75,0.7,,,,,,,,,,,,1,57
88,2003-08-03,2003,18,AAMI Stadium,Adelaide Crows,Sydney Swans,W,4,Adelaide Crows,0.8,33.4,97.4,7.0,44.0,0.6,0.8,,,,,,,,,,,,1,4
91,2003-08-23,2003,21,AAMI Stadium,Adelaide Crows,North Melbourne Kangaroos,L,-10,Adelaide Crows,0.6,9.4,98.4,8.0,52.0,0.5,0.8,,,,,,,,,,,,0,-10
93,2003-09-06,2003,EF,AAMI Stadium,Adelaide Crows,West Coast Eagles,W,56,Adelaide Crows,0.4,-7.0,80.2,6.0,52.0,0.3333333333333333,0.6,,,,,,,,,,,,1,56
96,2004-04-03,2004,2,AAMI Stadium,Adelaide Crows,Brisbane Lions,L,-21,Adelaide Crows,0.2,-17.4,82.2,6.0,0.0,0.2,0.7,,,,,,,,,,,,0,-21
98,2004-04-17,2004,4,AAMI Stadium,Adelaide Crows,St Kilda Saints,L,-15,Adelaide Crows,0.2,-18.2,83.2,6.0,0.0,0.8,0.7,,,,,,,,,,,,0,-15
102,2004-05-14,2004,8,AAMI Stadium,Adelaide Crows,essendon bombers,L,-51,Adelaide Crows,0.4,8.0,94.6,6.0,8.0,0.5,0.6,,,,,,,,,,,,0,-51
105,2004-06-05,2004,11,AAMI Stadium,Adelaide Crows,carlton blues,L,-4,Adelaide Crows,0.4,4.2,91.8,7.0,12.0,0.5,0.5,,,,,,,,,,,,0,-4
107,2004-06-20,2004,13,AAMI Stadium,Adelaide Crows,Western Bulldogs,W,32,Adelaide Crows,0.2,-0.8,89.0,8.0,12.0,0.5,0.4,,,,,,,,,,,,1,32
108,2004-07-04,2004,14,"AAMI Stadium
",Adelaide Crows,Melbourne Demons,W,72,Adelaide Crows,0.4,15.8,98.8,14.0,16.0,0.75,0.5,,,,,,,,,,,,1,72
110,2004-07-17,2004,16,AAMI Stadium,Adelaide Crows,Fremantle Dockers,L,-12,Adelaide Crows,0.4,11.0,97.2,7.0,20.0,0.4,0.4,,,,,,,,,,,,0,-12
112,2004-07-30,2004,18,AAMI Stadium,Adelaide Crows,North Melbourne Kangaroos,W,7,Adelaide Crows,0.4,-12.4,90.2,6.0,20.0,0.4,0.3,,,,,,,,,,,,1,7
114,2004-08-15,2004,20,AAMI Stadium,Adelaide Crows,richmond tigers,W,52,Adelaide Crows,0.2,-36.4,58.0,8.0,24.0,0.5,0.4,,,,,,,,,,,,1,52
115,2004-08-21,2004,21,AAMI Stadium,Adelaide Crows,Geelong Cats,W,22,Adelaide Crows,0.4,-23.4,76.6,6.0,28.0,0.4,0.5,,,,,,,,,,,,1,22
116,2004-08-29,2004,22,AAMI Stadium,Adelaide Crows,Port Adelaide Power,L,-25,Adelaide Crows,0.6,-16.6,82.4,8.0,32.0,0.2,0.5,,,,,,,,,,,,0,-25
117,2005-03-27,2005,1,AAMI Stadium,Adelaide Crows,West Coast Eagles,L,-11,Adelaide Crows,0.6,6.6,84.8,21.0,0.0,0.4,0.5,,,,,,,,,,,,0,-11
119,2005-04-10,2005,3,AAMI Stadium,Adelaide Crows,Port Adelaide Power,W,68,Adelaide Crows,0.6,8.8,88.2,7.0,4.0,0.2,0.5,,,,,,,,,,,,1,68
122,2005-04-30,2005,6,AAMI Stadium,Adelaide Crows,North Melbourne Kangaroos,W,10,Adelaide Crows,0.6,14.6,97.4,7.0,12.0,0.4,0.5,,,,,,,,,,,,1,10
124,2005-05-14,2005,8,AAMI Stadium,Adelaide Crows,Brisbane Lions,L,-9,Adelaide Crows,0.6,12.8,96.2,8.0,16.0,0.2,0.6,,,,,,,,,,,,0,-9
